Month,division,Line,Day Type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2015-07-01,A DIVISION,5,1,2739,7078,0.386973721
2015-07-01,A DIVISION,6,1,6118,12248,0.499510124
2015-07-01,A DIVISION,7,1,11379,13576,0.838170301
2015-07-01,A DIVISION,S 42nd,1,12801,12872,0.994484152
2015-07-01,B DIVISION,A,1,5336,8228,0.648517258
2015-07-01,B DIVISION,B,1,3435,4532,0.757943513
2015-07-01,B DIVISION,C,1,3407,4400,0.774318182
2015-07-01,B DIVISION,D,1,4242,5826,0.728115345
2015-07-01,B DIVISION,E,1,5962,8696,0.685602576
2015-07-01,B DIVISION,F,1,4783,8380,0.570763723
2015-07-01,B DIVISION,G,1,3973,6164,0.644548994
2015-07-01,B DIVISION,JZ,1,4460,6010,0.742096506
2015-07-01,B DIVISION,L,1,9774,10802,0.904832438
2015-07-01,B DIVISION,M,1,4090,5852,0.698906357
2015-07-01,B DIVISION,N,1,4230,6221,0.679954991
2015-07-01,B DIVISION,Q,1,4108,5892,0.697216565
2015-07-01,B DIVISION,R,1,3740,6248,0.598591549
2015-07-01,B DIVISION,S Fkln,1,2587,2596,0.996533128
2015-07-01,B DIVISION,S Rock,1,3523,3700,0.952162162
2015-08-01,A DIVISION,1,1,7575,9477,0.799303577
2015-08-01,A DIVISION,2,1,2648,6533,0.405326802
2015-08-01,A DIVISION,3,1,3880,6046,0.641746609
2015-08-01,A DIVISION,4,1,3430,7713,0.444703747
2015-08-01,A DIVISION,5,1,2361,6789,0.347768449
2015-08-01,A DIVISION,6,1,6547,11683,0.560386887
2015-08-01,A DIVISION,7,1,11418,12953,0.881494634
2015-08-01,A DIVISION,S 42nd,1,12764,12843,0.993848789
2015-08-01,B DIVISION,A,1,5204,7702,0.675668657
2015-08-01,B DIVISION,B,1,3386,4326,0.7827092
2015-08-01,B DIVISION,C,1,3549,4200,0.845
2015-08-01,B DIVISION,D,1,4083,5470,0.746435101
2015-08-01,B DIVISION,E,1,5943,8296,0.716369335
2015-08-01,B DIVISION,F,1,4607,7992,0.576451451
2015-08-01,B DIVISION,G,1,3940,5885,0.669498726
2015-08-01,B DIVISION,JZ,1,4421,5738,0.770477518
2015-08-01,B DIVISION,L,1,9867,10603,0.930585683
2015-08-01,B DIVISION,M,1,3855,5586,0.690118153
2015-08-01,B DIVISION,N,1,3733,5586,0.668277837
2015-08-01,B DIVISION,Q,1,4245,5623,0.754935088
2015-08-01,B DIVISION,R,1,3798,5964,0.636820926
